H;X2;X3;Y;X1;Z;T;JS;JL;JH;GA;GB;GC;;[D];[B2];[B1];[B0];;H,km;Q(D);Q(B2);Q(B1);Q(B0);Q(A0)
150;2.43E+09;0.00E+00;1.35E+05;1.96E+10;3.00E+10;777.3;2.73E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.17E+03;6.59E-02;1.19E+03;2.71E+03;;150;1.28E+00;2.93E-01;2.94E-01;8.96E-02;2.28E-04
149;2.58E+09;0.00E+00;1.80E+05;2.03E+10;3.16E+10;767.7;2.72E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.21E+03;6.79E-02;1.23E+03;2.93E+03;;149;1.35E+00;3.02E-01;3.03E-01;8.97E-02;2.28E-04
148;2.74E+09;0.00E+00;2.48E+05;2.10E+10;3.34E+10;758.0;2.71E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.25E+03;7.01E-02;1.28E+03;3.16E+03;;148;1.42E+00;3.10E-01;3.12E-01;8.97E-02;2.28E-04
147;2.91E+09;0.00E+00;3.41E+05;2.18E+10;3.53E+10;748.0;2.70E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.28E+03;7.22E-02;1.33E+03;3.41E+03;;147;1.49E+00;3.20E-01;3.22E-01;8.98E-02;2.28E-04
146;3.10E+09;0.00E+00;4.54E+05;2.26E+10;3.73E+10;737.9;2.69E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.32E+03;7.46E-02;1.39E+03;3.70E+03;;146;1.57E+00;3.30E-01;3.32E-01;8.99E-02;2.28E-04
145;3.31E+09;0.00E+00;5.86E+05;2.35E+10;3.95E+10;727.6;2.68E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.36E+03;7.70E-02;1.45E+03;4.02E+03;;145;1.65E+00;3.41E-01;3.44E-01;9.00E-02;2.28E-04
144;3.54E+09;0.00E+00;7.31E+05;2.44E+10;4.19E+10;717.1;2.67E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.41E+03;7.97E-02;1.51E+03;4.38E+03;;144;1.75E+00;3.52E-01;3.55E-01;9.00E-02;2.28E-04
143;3.78E+09;0.00E+00;8.89E+05;2.54E+10;4.44E+10;706.4;2.65E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.44E+03;8.23E-02;1.57E+03;4.74E+03;;143;1.85E+00;3.65E-01;3.68E-01;9.01E-02;2.29E-04
142;4.05E+09;0.00E+00;1.06E+06;2.64E+10;4.72E+10;695.5;2.64E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.48E+03;8.52E-02;1.64E+03;5.17E+03;;142;1.95E+00;3.77E-01;3.81E-01;9.02E-02;2.29E-04
141;4.35E+09;0.00E+00;1.23E+06;2.75E+10;5.02E+10;684.4;2.62E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.52E+03;8.83E-02;1.71E+03;5.66E+03;;141;2.07E+00;3.91E-01;3.96E-01;9.03E-02;2.29E-04
140;4.45E+09;5.23E+00;1.41E+06;4.18E+10;5.90E+10;582.3;2.61E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;4.36E+03;6.56E-02;1.30E+03;4.01E+03;;140;2.67E+00;5.39E-01;4.31E-01;9.15E-02;2.30E-04
139;4.79E+09;5.48E+00;1.65E+06;4.28E+10;6.23E+10;575.1;2.59E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;4.45E+03;6.90E-02;1.38E+03;4.48E+03;;139;2.80E+00;5.52E-01;4.45E-01;9.15E-02;2.30E-04
138;5.27E+09;5.88E+00;1.95E+06;4.48E+10;6.73E+10;564.1;2.58E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;4.53E+03;7.27E-02;1.48E+03;5.09E+03;;138;3.00E+00;5.76E-01;4.67E-01;9.17E-02;2.30E-04
137;5.80E+09;6.33E+00;2.27E+06;4.71E+10;7.27E+10;552.9;2.56E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;4.60E+03;7.64E-02;1.58E+03;5.76E+03;;137;3.23E+00;6.03E-01;4.90E-01;9.19E-02;2.31E-04
136;6.37E+09;6.82E+00;2.64E+06;4.96E+10;7.87E+10;541.5;2.54E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;4.66E+03;8.00E-02;1.68E+03;6.47E+03;;136;3.48E+00;6.32E-01;5.15E-01;9.21E-02;2.31E-04
135;7.03E+09;7.36E+00;3.05E+06;5.22E+10;8.53E+10;529.8;2.52E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;4.72E+03;8.42E-02;1.79E+03;7.34E+03;;135;3.75E+00;6.63E-01;5.42E-01;9.23E-02;2.31E-04
134;7.80E+09;7.96E+00;3.52E+06;5.51E+10;9.28E+10;518.1;2.49E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;4.79E+03;8.88E-02;1.92E+03;8.36E+03;;134;4.06E+00;6.98E-01;5.73E-01;9.26E-02;2.32E-04
133;8.68E+09;8.63E+00;4.06E+06;5.81E+10;1.01E+11;506.8;2.47E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;4.87E+03;9.40E-02;2.06E+03;9.59E+03;;133;4.40E+00;7.34E-01;6.06E-01;9.28E-02;2.32E-04
132;9.71E+09;9.36E+00;4.67E+06;6.13E+10;1.10E+11;495.9;2.44E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;4.96E+03;9.98E-02;2.22E+03;1.11E+04;;132;4.78E+00;7.72E-01;6.44E-01;9.31E-02;2.32E-04
131;1.09E+10;1.02E+01;5.35E+06;6.46E+10;1.20E+11;486.0;2.41E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.06E+03;1.06E-01;2.39E+03;1.29E+04;;131;5.19E+00;8.13E-01;6.85E-01;9.34E-02;2.32E-04
130;1.21E+10;1.10E+01;6.11E+06;6.80E+10;1.31E+11;476.7;2.37E-06;5.65E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;5.10E+03;1.12E-01;2.53E+03;1.46E+04;;130;5.64E+00;8.54E-01;7.27E-01;9.37E-02;2.33E-04
129;1.35E+10;1.20E+01;6.96E+06;7.15E+10;1.43E+11;469.3;2.34E-06;5.65E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;5.15E+03;1.19E-01;2.69E+03;1.68E+04;;129;6.12E+00;8.97E-01;7.74E-01;9.40E-02;2.33E-04
128;1.49E+10;1.30E+01;7.91E+06;7.50E+10;1.55E+11;463.5;2.29E-06;5.65E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;5.18E+03;1.26E-01;2.82E+03;1.89E+04;;128;6.61E+00;9.41E-01;8.21E-01;9.43E-02;2.34E-04
127;1.65E+10;1.42E+01;8.98E+06;7.83E+10;1.67E+11;459.5;2.25E-06;5.65E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;5.24E+03;1.33E-01;2.97E+03;2.15E+04;;127;7.09E+00;9.84E-01;8.74E-01;9.46E-02;2.34E-04
126;1.83E+10;1.56E+01;1.02E+07;8.15E+10;1.81E+11;456.2;2.20E-06;5.65E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;5.29E+03;1.42E-01;3.12E+03;2.44E+04;;126;7.64E+00;1.03E+00;9.32E-01;9.49E-02;2.34E-04
125;2.03E+10;1.76E+01;1.16E+07;8.49E+10;1.96E+11;452.8;2.15E-06;5.65E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;5.32E+03;1.50E-01;3.27E+03;2.78E+04;;125;8.23E+00;1.07E+00;9.94E-01;9.52E-02;2.35E-04
124;2.27E+10;2.04E+01;1.32E+07;8.86E+10;2.13E+11;447.9;2.10E-06;5.65E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;5.36E+03;1.61E-01;3.44E+03;3.18E+04;;124;8.90E+00;1.12E+00;1.07E+00;9.55E-02;2.35E-04
123;2.55E+10;2.45E+01;1.52E+07;9.29E+10;2.32E+11;441.3;2.04E-06;5.65E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;5.38E+03;1.72E-01;3.63E+03;3.65E+04;;123;9.68E+00;1.18E+00;1.14E+00;9.59E-02;2.35E-04
122;2.87E+10;3.09E+01;1.76E+07;9.80E+10;2.55E+11;432.4;1.98E-06;5.65E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;5.35E+03;1.83E-01;3.80E+03;4.14E+04;;122;1.06E+01;1.24E+00;1.23E+00;9.64E-02;2.36E-04
121;3.26E+10;4.07E+01;2.04E+07;1.04E+11;2.81E+11;422.3;1.91E-06;5.65E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;5.32E+03;1.96E-01;3.99E+03;4.73E+04;;121;1.17E+01;1.32E+00;1.33E+00;9.69E-02;2.36E-04
120;3.73E+10;5.61E+01;2.44E+07;1.10E+11;3.13E+11;410.0;1.84E-06;5.65E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;5.26E+03;2.12E-01;4.21E+03;5.43E+04;;120;1.30E+01;1.40E+00;1.43E+00;9.74E-02;2.37E-04
119;4.32E+10;8.11E+01;2.84E+07;1.18E+11;3.52E+11;395.6;1.76E-06;5.65E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;5.17E+03;2.29E-01;4.43E+03;6.25E+04;;119;1.47E+01;1.50E+00;1.56E+00;9.82E-02;2.38E-04
118;5.11E+10;1.24E+02;3.44E+07;1.29E+11;4.04E+11;375.3;1.67E-06;5.65E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;5.03E+03;2.49E-01;4.71E+03;7.26E+04;;118;1.70E+01;1.63E+00;1.71E+00;9.92E-02;2.39E-04
117;6.14E+10;1.99E+02;4.24E+07;1.43E+11;4.71E+11;351.9;1.58E-06;5.65E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;4.83E+03;2.72E-01;5.02E+03;8.43E+04;;117;2.01E+01;1.79E+00;1.88E+00;1.00E-01;2.40E-04
116;7.49E+10;3.34E+02;5.33E+07;1.61E+11;5.58E+11;326.4;1.47E-06;5.64E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;4.57E+03;2.98E-01;5.34E+03;9.75E+04;;116;2.42E+01;1.99E+00;2.08E+00;1.02E-01;2.42E-04
115;9.20E+10;5.76E+02;6.74E+07;1.81E+11;6.65E+11;303.5;1.36E-06;5.64E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;4.27E+03;3.29E-01;5.63E+03;1.13E+05;;115;2.94E+01;2.22E+00;2.31E+00;1.04E-01;2.44E-04
114;1.12E+11;1.01E+03;8.50E+07;2.01E+11;7.87E+11;286.1;1.24E-06;5.64E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;3.95E+03;3.63E-01;5.80E+03;1.28E+05;;114;3.53E+01;2.45E+00;2.57E+00;1.06E-01;2.46E-04
113;1.39E+11;1.82E+03;1.08E+08;2.25E+11;9.42E+11;268.7;1.12E-06;5.64E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;3.62E+03;4.06E-01;5.97E+03;1.46E+05;;113;4.31E+01;2.72E+00;2.90E+00;1.08E-01;2.49E-04
112;1.74E+11;3.42E+03;1.41E+08;2.55E+11;1.14E+12;250.7;9.93E-07;5.64E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;3.24E+03;4.53E-01;6.08E+03;1.65E+05;;112;5.34E+01;3.05E+00;3.27E+00;1.11E-01;2.52E-04
111;2.23E+11;6.61E+03;1.86E+08;2.94E+11;1.42E+12;231.1;8.67E-07;5.64E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;2.83E+03;5.09E-01;6.14E+03;1.84E+05;;111;6.86E+01;3.48E+00;3.72E+00;1.15E-01;2.56E-04
110;2.91E+11;1.36E+04;2.50E+08;3.45E+11;1.78E+12;212.5;7.43E-07;5.64E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;2.43E+03;5.74E-01;6.16E+03;2.05E+05;;110;8.94E+01;4.03E+00;4.30E+00;1.20E-01;2.61E-04
109;3.73E+11;2.74E+04;3.27E+08;4.00E+11;2.21E+12;200.5;6.26E-07;5.63E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;2.05E+03;6.39E-01;5.89E+03;2.21E+05;;109;1.14E+02;4.63E+00;5.00E+00;1.25E-01;2.66E-04
108;4.69E+11;6.01E+04;4.20E+08;4.53E+11;2.68E+12;194.3;5.22E-07;5.63E-09;8.48E-03;5.37E-09;2.95E-10;7.94E-12;;1.75E+03;7.11E-01;5.46E+03;2.36E+05;;108;1.41E+02;5.24E+00;5.85E+00;1.31E-01;2.72E-04
107;5.75E+11;1.36E+05;5.28E+08;4.97E+11;3.18E+12;193.7;4.32E-07;5.62E-09;8.48E-03;5.37E-09;2.95E-10;7.93E-12;;1.50E+03;7.90E-01;4.90E+03;2.49E+05;;107;1.68E+02;5.78E+00;6.86E+00;1.35E-01;2.76E-04
106;6.92E+11;3.22E+05;6.57E+08;5.32E+11;3.70E+12;196.2;3.56E-07;5.62E-09;8.48E-03;5.37E-09;2.95E-10;7.93E-12;;1.29E+03;8.78E-01;4.32E+03;2.62E+05;;106;1.94E+02;6.25E+00;8.06E+00;1.39E-01;2.80E-04
105;8.22E+11;7.58E+05;8.12E+08;5.58E+11;4.27E+12;200.1;2.93E-07;5.61E-09;8.48E-03;5.37E-09;2.95E-10;7.93E-12;;1.13E+03;9.79E-01;3.78E+03;2.74E+05;;105;2.21E+02;6.66E+00;9.43E+00;1.43E-01;2.83E-04
104;9.62E+11;1.91E+06;9.95E+08;5.73E+11;4.87E+12;205.8;2.41E-07;5.60E-09;8.48E-03;5.37E-09;2.95E-10;7.93E-12;;1.00E+03;1.09E+00;3.33E+03;2.90E+05;;104;2.48E+02;7.00E+00;1.10E+01;1.45E-01;2.84E-04
103;1.12E+12;3.57E+06;1.22E+09;5.80E+11;5.54E+12;211.4;1.97E-07;5.59E-09;8.48E-03;5.37E-09;2.95E-10;7.93E-12;;9.03E+02;1.22E+00;2.97E+03;3.10E+05;;103;2.78E+02;7.29E+00;1.28E+01;1.47E-01;2.85E-04
102;1.28E+12;4.23E+06;1.45E+09;5.75E+11;6.19E+12;219.7;1.62E-07;5.58E-09;8.48E-03;5.37E-09;2.95E-10;7.93E-12;;7.95E+02;1.35E+00;2.53E+03;3.19E+05;;102;3.05E+02;7.53E+00;1.50E+01;1.48E-01;2.85E-04
101;1.54E+12;4.23E+06;1.83E+09;5.98E+11;7.32E+12;215.5;1.31E-07;5.57E-09;8.48E-03;5.37E-09;2.95E-10;7.93E-12;;6.56E+02;1.53E+00;2.21E+03;3.23E+05;;101;3.63E+02;7.96E+00;1.71E+01;1.53E-01;2.88E-04
100;1.91E+12;4.01E+06;2.36E+09;6.42E+11;8.95E+12;205.7;1.05E-07;5.55E-09;8.48E-03;5.37E-09;2.95E-10;7.93E-12;;5.18E+02;1.77E+00;1.94E+03;3.23E+05;;100;4.54E+02;8.53E+00;1.96E+01;1.61E-01;2.93E-04
99;2.38E+12;5.08E+06;3.03E+09;6.84E+11;1.10E+13;197.3;8.18E-08;5.53E-09;8.48E-03;5.37E-09;2.95E-10;7.93E-12;;4.19E+02;2.07E+00;1.74E+03;3.32E+05;;99;5.70E+02;9.12E+00;2.25E+01;1.69E-01;2.97E-04
98;3.10E+12;9.72E+06;4.06E+09;7.50E+11;1.40E+13;183.2;6.17E-08;5.50E-09;8.48E-03;5.36E-09;2.95E-10;7.92E-12;;3.60E+02;2.50E+00;1.76E+03;3.68E+05;;98;7.58E+02;9.85E+00;2.58E+01;1.82E-01;3.04E-04
97;4.04E+12;1.95E+07;5.41E+09;8.06E+11;1.80E+13;172.3;4.44E-08;5.47E-09;8.48E-03;5.36E-09;2.95E-10;7.92E-12;;3.34E+02;3.04E+00;1.88E+03;4.32E+05;;97;1.01E+03;1.05E+01;3.01E+01;1.97E-01;3.11E-04
96;4.76E+12;2.65E+07;6.53E+09;7.67E+11;2.09E+13;179.2;3.09E-08;5.43E-09;8.48E-03;5.36E-09;2.95E-10;7.92E-12;;3.15E+02;3.50E+00;1.68E+03;4.79E+05;;96;1.15E+03;1.08E+01;3.67E+01;2.01E-01;3.08E-04
