H;X2;X3;Y;X1;Z;T;JS;JL;JH;GA;GB;GC;;[D];[B2];[B1];[B0];;H,km;Q(D);Q(B2);Q(B1);Q(B0);Q(A0)
95;5.04E+12;2.34E+07;7.04E+09;6.34E+11;2.19E+13;203.7;2.13E-08;5.38E-09;8.48E-03;5.36E-09;2.94E-10;7.92E-12;;2.67E+02;3.65E+00;1.15E+03;4.66E+05;;95;1.11E+03;1.09E+01;4.60E+01;1.91E-01;2.96E-04
94;5.67E+12;2.97E+07;8.04E+09;5.22E+11;2.43E+13;214.3;1.47E-08;5.33E-09;8.48E-03;5.36E-09;2.94E-10;7.91E-12;;2.68E+02;4.06E+00;1.06E+03;5.34E+05;;94;1.20E+03;1.10E+01;5.49E+01;1.88E-01;2.86E-04
93;6.97E+12;5.04E+07;1.00E+10;4.40E+11;2.96E+13;206.1;9.72E-09;5.27E-09;8.48E-03;5.36E-09;2.94E-10;7.91E-12;;3.13E+02;5.18E+00;1.35E+03;7.18E+05;;93;1.49E+03;1.06E+01;6.28E+01;1.95E-01;2.79E-04
92;8.62E+12;6.45E+07;1.25E+10;3.64E+11;3.63E+13;198.3;6.04E-09;5.20E-09;8.48E-03;5.35E-09;2.94E-10;7.91E-12;;3.01E+02;6.58E+00;1.41E+03;8.31E+05;;92;1.87E+03;1.04E+01;7.24E+01;2.06E-01;2.73E-04
91;1.09E+13;7.32E+07;1.60E+10;3.01E+11;4.53E+13;188.6;3.46E-09;5.11E-09;8.48E-03;5.35E-09;2.94E-10;7.90E-12;;2.58E+02;8.52E+00;1.35E+03;8.83E+05;;91;2.41E+03;1.01E+01;8.39E+01;2.24E-01;2.68E-04
90;1.38E+13;8.68E+07;2.04E+10;2.45E+11;5.68E+13;180.2;1.80E-09;5.00E-09;8.48E-03;5.35E-09;2.94E-10;7.90E-12;;2.31E+02;1.09E+01;1.35E+03;9.48E+05;;90;3.11E+03;1.00E+01;9.82E+01;2.49E-01;2.65E-04
89;1.64E+13;9.14E+07;2.46E+10;1.98E+11;6.73E+13;182.8;8.58E-10;4.87E-09;8.47E-03;5.34E-09;2.94E-10;7.89E-12;;2.05E+02;1.14E+01;1.17E+03;9.53E+05;;89;3.65E+03;1.14E+01;1.19E+02;2.71E-01;2.64E-04
88;1.85E+13;7.67E+07;2.79E+10;1.78E+11;7.52E+13;195.1;3.96E-10;4.73E-09;8.47E-03;5.34E-09;2.93E-10;7.89E-12;;1.60E+02;9.76E+00;8.09E+02;8.63E+05;;88;3.93E+03;1.49E+01;1.49E+02;2.86E-01;2.65E-04
87;2.10E+13;5.44E+07;3.21E+10;1.64E+11;8.49E+13;203.7;1.85E-10;4.57E-09;8.47E-03;5.33E-09;2.93E-10;7.88E-12;;1.06E+02;8.80E+00;5.04E+02;7.29E+05;;87;4.34E+03;1.88E+01;1.80E+02;3.07E-01;2.68E-04
86;2.56E+13;4.79E+07;3.94E+10;1.21E+11;1.03E+14;198.1;8.68E-11;4.39E-09;8.47E-03;5.33E-09;2.93E-10;7.87E-12;;7.79E+01;9.96E+00;4.01E+02;6.87E+05;;86;5.35E+03;2.02E+01;2.10E+02;3.49E-01;2.68E-04
85;3.22E+13;6.99E+07;4.99E+10;7.15E+10;1.28E+14;188.5;4.10E-11;4.17E-09;8.47E-03;5.32E-09;2.92E-10;7.86E-12;;8.65E+01;1.21E+01;4.88E+02;7.75E+05;;85;6.86E+03;2.09E+01;2.44E+02;4.10E-01;2.69E-04
84;3.92E+13;1.12E+08;6.14E+10;4.68E+10;1.56E+14;185.6;1.93E-11;3.92E-09;8.47E-03;5.32E-09;2.92E-10;7.85E-12;;1.09E+02;1.30E+01;6.27E+02;9.02E+05;;84;8.43E+03;2.37E+01;2.89E+02;4.79E-01;2.74E-04
83;4.47E+13;1.27E+08;7.05E+10;4.57E+10;1.76E+14;195.0;8.81E-12;3.64E-09;8.47E-03;5.31E-09;2.92E-10;7.84E-12;;1.12E+02;1.10E+01;5.81E+02;9.41E+05;;83;9.27E+03;3.18E+01;3.57E+02;5.24E-01;2.83E-04
82;4.91E+13;1.01E+08;7.83E+10;5.53E+10;1.93E+14;209.7;3.83E-12;3.36E-09;8.47E-03;5.30E-09;2.91E-10;7.83E-12;;8.62E+01;8.70E+00;3.94E+02;8.46E+05;;82;9.77E+03;4.42E+01;4.40E+02;5.60E-01;2.93E-04
81;5.72E+13;1.22E+08;9.19E+10;5.31E+10;2.24E+14;211.4;1.51E-12;3.06E-09;8.47E-03;5.29E-09;2.91E-10;7.82E-12;;8.91E+01;8.49E+00;4.00E+02;8.79E+05;;81;1.13E+04;5.27E+01;5.19E+02;6.34E-01;3.04E-04
80;6.99E+13;2.00E+08;1.13E+11;3.87E+10;2.73E+14;203.6;5.01E-13;2.74E-09;8.47E-03;5.28E-09;2.90E-10;7.80E-12;;1.14E+02;9.59E+00;5.43E+02;1.02E+06;;80;1.41E+04;5.69E+01;5.98E+02;7.58E-01;3.15E-04
79;8.36E+13;2.57E+08;1.37E+11;2.89E+10;3.25E+14;201.3;1.32E-13;2.40E-09;8.46E-03;5.27E-09;2.89E-10;7.78E-12;;1.21E+02;9.96E+00;5.87E+02;1.07E+06;;79;1.69E+04;6.53E+01;7.02E+02;8.87E-01;3.30E-04
78;9.73E+13;2.79E+08;1.61E+11;2.49E+10;3.78E+14;204.2;2.73E-14;2.05E-09;8.46E-03;5.26E-09;2.89E-10;7.76E-12;;1.14E+02;9.49E+00;5.36E+02;1.05E+06;;78;1.95E+04;7.95E+01;8.36E+02;1.01E+00;3.48E-04
77;1.13E+14;2.73E+08;1.89E+11;2.09E+10;4.38E+14;206.8;4.37E-15;1.71E-09;8.46E-03;5.24E-09;2.88E-10;7.74E-12;;9.65E+01;9.10E+00;4.49E+02;9.84E+05;;77;2.24E+04;9.61E+01;9.90E+02;1.16E+00;3.69E-04
76;1.33E+14;2.52E+08;2.24E+11;1.58E+10;5.13E+14;207.2;5.12E-16;1.38E-09;8.45E-03;5.22E-09;2.87E-10;7.71E-12;;7.61E+01;9.03E+00;3.60E+02;9.03E+05;;76;2.63E+04;1.14E+02;1.17E+03;1.34E+00;3.93E-04
75;1.56E+14;2.31E+08;2.65E+11;1.08E+10;6.01E+14;207.7;4.14E-17;1.07E-09;8.45E-03;5.20E-09;2.86E-10;7.69E-12;;5.96E+01;8.93E+00;2.87E+02;8.33E+05;;75;3.07E+04;1.34E+02;1.38E+03;1.55E+00;4.22E-04
74;1.81E+14;2.08E+08;3.09E+11;7.86E+09;6.96E+14;210.4;2.20E-18;7.99E-10;8.45E-03;5.18E-09;2.85E-10;7.65E-12;;4.65E+01;8.54E+00;2.26E+02;7.77E+05;;74;3.54E+04;1.62E+02;1.63E+03;1.78E+00;4.56E-04
73;2.10E+14;2.23E+08;3.60E+11;6.58E+09;8.04E+14;213.0;7.33E-20;5.68E-10;8.45E-03;5.16E-09;2.83E-10;7.62E-12;;4.30E+01;8.18E+00;2.06E+02;7.67E+05;;73;4.06E+04;1.96E+02;1.92E+03;2.04E+00;4.96E-04
72;2.44E+14;3.13E+08;4.21E+11;6.10E+09;9.32E+14;214.7;1.42E-21;3.83E-10;8.44E-03;5.13E-09;2.82E-10;7.58E-12;;5.16E+01;7.94E+00;2.37E+02;8.11E+05;;72;4.69E+04;2.33E+02;2.26E+03;2.35E+00;5.42E-04
71;2.80E+14;4.29E+08;4.84E+11;6.07E+09;1.07E+15;218.7;1.50E-23;2.43E-10;8.44E-03;5.10E-09;2.80E-10;7.53E-12;;6.16E+01;7.46E+00;2.68E+02;8.60E+05;;71;5.34E+04;2.83E+02;2.67E+03;2.68E+00;5.95E-04
70;3.16E+14;5.04E+08;5.49E+11;6.26E+09;1.20E+15;225.1;8.39E-26;1.45E-10;8.44E-03;5.06E-09;2.78E-10;7.48E-12;;6.51E+01;6.79E+00;2.66E+02;8.82E+05;;70;5.91E+04;3.48E+02;3.15E+03;2.98E+00;6.55E-04
69;3.57E+14;5.62E+08;6.21E+11;6.46E+09;1.35E+15;231.5;2.41E-28;8.06E-11;8.43E-03;5.03E-09;2.76E-10;7.42E-12;;6.52E+01;6.21E+00;2.53E+02;8.85E+05;;69;6.56E+04;4.27E+02;3.71E+03;3.33E+00;7.24E-04
68;4.01E+14;6.38E+08;6.99E+11;6.89E+09;1.52E+15;237.8;3.31E-31;4.17E-11;8.42E-03;4.98E-09;2.74E-10;7.36E-12;;6.64E+01;5.70E+00;2.45E+02;8.87E+05;;68;7.29E+04;5.18E+02;4.34E+03;3.72E+00;7.99E-04
67;4.52E+14;7.70E+08;7.88E+11;7.52E+09;1.71E+15;243.0;1.99E-34;1.99E-11;8.42E-03;4.93E-09;2.71E-10;7.29E-12;;7.18E+01;5.31E+00;2.52E+02;9.12E+05;;67;8.13E+04;6.20E+02;5.05E+03;4.16E+00;8.85E-04
66;5.16E+14;1.03E+09;8.99E+11;7.93E+09;1.95E+15;244.5;4.42E-38;8.56E-12;8.41E-03;4.88E-09;2.68E-10;7.21E-12;;8.43E+01;5.16E+00;2.88E+02;9.69E+05;;66;9.25E+04;7.21E+02;5.82E+03;4.73E+00;9.83E-04
65;5.96E+14;1.48E+09;1.04E+12;7.90E+09;2.24E+15;243.2;2.80E-42;3.26E-12;8.39E-03;4.37E-09;2.63E-10;7.04E-12;;1.05E+02;5.12E+00;3.56E+02;1.02E+06;;65;1.07E+05;8.20E+02;6.67E+03;5.43E+00;1.10E-03
64;6.88E+14;2.07E+09;1.20E+12;7.78E+09;2.58E+15;242.2;0.00E+00;1.07E-12;8.38E-03;4.28E-09;2.59E-10;6.94E-12;;1.27E+02;5.11E+00;4.28E+02;1.12E+06;;64;1.23E+05;9.36E+02;7.65E+03;6.25E+00;1.23E-03
63;7.93E+14;2.81E+09;1.38E+12;7.73E+09;2.97E+15;241.7;0.00E+00;2.94E-13;8.35E-03;4.12E-09;2.55E-10;6.83E-12;;1.49E+02;5.05E+00;5.00E+02;1.21E+06;;63;1.42E+05;1.07E+03;8.79E+03;7.20E+00;1.38E-03
62;9.17E+14;3.92E+09;1.60E+12;7.53E+09;3.43E+15;240.5;0.00E+00;6.65E-14;8.32E-03;4.00E-09;2.50E-10;6.71E-12;;1.79E+02;5.03E+00;6.00E+02;1.34E+06;;62;1.64E+05;1.22E+03;1.01E+04;8.32E+00;1.55E-03
61;1.05E+15;5.32E+09;1.84E+12;7.21E+09;3.94E+15;240.7;0.00E+00;1.20E-14;8.27E-03;3.82E-09;2.45E-10;6.58E-12;;2.10E+02;4.92E+00;7.01E+02;1.47E+06;;61;1.88E+05;1.40E+03;1.16E+04;9.56E+00;1.74E-03
60;1.19E+15;6.47E+09;2.07E+12;7.20E+09;4.44E+15;245.0;0.00E+00;1.70E-15;8.21E-03;3.74E-09;2.39E-10;6.39E-12;;2.27E+02;4.55E+00;7.29E+02;1.55E+06;;60;2.11E+05;1.67E+03;1.35E+04;1.07E+01;1.98E-03
59;1.33E+15;7.25E+09;2.31E+12;7.53E+09;4.95E+15;251.3;0.00E+00;1.90E-16;8.14E-03;3.64E-09;2.33E-10;6.23E-12;;2.28E+02;4.14E+00;7.01E+02;1.55E+06;;59;2.33E+05;2.00E+03;1.56E+04;1.19E+01;2.23E-03
58;1.50E+15;8.67E+09;2.61E+12;7.70E+09;5.59E+15;254.4;0.00E+00;1.62E-17;8.06E-03;3.54E-09;2.26E-10;6.05E-12;;2.41E+02;3.89E+00;7.22E+02;1.59E+06;;58;2.61E+05;2.33E+03;1.79E+04;1.34E+01;2.51E-03
57;1.72E+15;1.15E+10;2.99E+12;7.45E+09;6.41E+15;253.1;0.00E+00;9.88E-19;7.96E-03;3.42E-09;2.19E-10;5.85E-12;;2.74E+02;3.82E+00;8.27E+02;1.74E+06;;57;3.00E+05;2.64E+03;2.04E+04;1.54E+01;2.83E-03
56;1.98E+15;1.54E+10;3.45E+12;7.09E+09;7.38E+15;251.1;0.00E+00;3.96E-20;7.83E-03;3.30E-09;2.11E-10;5.64E-12;;3.13E+02;3.76E+00;9.53E+02;1.91E+06;;56;3.47E+05;2.97E+03;2.32E+04;1.78E+01;3.20E-03
55;2.28E+15;2.06E+10;3.97E+12;6.74E+09;8.50E+15;249.4;0.00E+00;9.75E-22;7.66E-03;3.17E-09;2.02E-10;5.41E-12;;3.54E+02;3.67E+00;1.09E+03;2.10E+06;;55;4.01E+05;3.36E+03;2.65E+04;2.06E+01;3.64E-03
54;2.62E+15;2.67E+10;4.55E+12;6.32E+09;9.75E+15;248.6;0.00E+00;1.38E-23;7.44E-03;3.02E-09;1.93E-10;5.16E-12;;3.88E+02;3.53E+00;1.20E+03;2.25E+06;;54;4.61E+05;3.83E+03;3.03E+04;2.37E+01;4.13E-03
53;2.96E+15;3.11E+10;5.15E+12;6.04E+09;1.10E+16;251.6;0.00E+00;1.08E-25;7.19E-03;2.86E-09;1.83E-10;4.89E-12;;3.89E+02;3.24E+00;1.18E+03;2.23E+06;;53;5.17E+05;4.47E+03;3.48E+04;2.67E+01;4.69E-03
52;3.31E+15;3.51E+10;5.76E+12;5.94E+09;1.23E+16;256.6;0.00E+00;4.65E-28;6.91E-03;2.70E-09;1.72E-10;4.61E-12;;3.81E+02;2.89E+00;1.11E+03;2.16E+06;;52;5.73E+05;5.27E+03;4.01E+04;2.97E+01;5.31E-03
51;3.74E+15;4.45E+10;6.51E+12;5.65E+09;1.39E+16;258.7;0.00E+00;1.01E-30;6.60E-03;2.52E-09;1.61E-10;4.31E-12;;4.09E+02;2.65E+00;1.17E+03;2.27E+06;;51;6.46E+05;6.09E+03;4.58E+04;3.37E+01;6.02E-03
50;4.27E+15;5.99E+10;7.43E+12;5.11E+09;1.59E+16;258.1;0.00E+00;9.59E-34;6.21E-03;2.33E-09;1.49E-10;3.99E-12;;4.53E+02;2.47E+00;1.30E+03;2.45E+06;;50;7.39E+05;6.91E+03;5.21E+04;3.87E+01;6.83E-03
49;4.83E+15;7.47E+10;8.41E+12;4.61E+09;1.80E+16;259.5;0.00E+00;3.50E-37;5.76E-03;2.14E-09;1.37E-10;3.66E-12;;4.64E+02;2.23E+00;1.32E+03;2.46E+06;;49;8.34E+05;7.93E+03;5.94E+04;4.39E+01;7.74E-03
48;5.43E+15;8.75E+10;9.44E+12;4.24E+09;2.02E+16;263.0;0.00E+00;4.68E-41;5.27E-03;1.94E-09;1.24E-10;3.32E-12;;4.45E+02;1.95E+00;1.24E+03;2.35E+06;;48;9.31E+05;9.23E+03;6.81E+04;4.92E+01;8.79E-03
47;6.11E+15;1.06E+11;1.06E+13;3.84E+09;2.28E+16;265.2;0.00E+00;1.40E-45;4.75E-03;1.74E-09;1.11E-10;2.97E-12;;4.33E+02;1.71E+00;1.18E+03;2.25E+06;;47;1.05E+06;1.06E+04;7.75E+04;5.56E+01;9.95E-03
46;6.96E+15;1.36E+11;1.21E+13;3.35E+09;2.60E+16;264.3;0.00E+00;0.00E+00;4.20E-03;1.54E-09;9.82E-11;2.63E-12;;4.30E+02;1.52E+00;1.18E+03;2.20E+06;;46;1.20E+06;1.20E+04;8.79E+04;6.38E+01;1.13E-02
45;8.01E+15;1.80E+11;1.39E+13;2.74E+09;2.98E+16;261.2;0.00E+00;0.00E+00;3.61E-03;1.33E-09;8.54E-11;2.28E-12;;4.24E+02;1.37E+00;1.19E+03;2.15E+06;;45;1.38E+06;1.34E+04;9.95E+04;7.37E+01;1.28E-02
44;9.19E+15;2.31E+11;1.60E+13;1.95E+09;3.42E+16;259.2;0.00E+00;0.00E+00;3.00E-03;1.14E-09;7.29E-11;1.95E-12;;3.93E+02;1.19E+00;1.12E+03;1.97E+06;;44;1.59E+06;1.51E+04;1.13E+05;8.52E+01;1.46E-02
43;1.04E+16;2.89E+11;1.82E+13;1.12E+09;3.89E+16;259.7;0.00E+00;0.00E+00;2.44E-03;9.53E-10;6.09E-11;1.63E-12;;3.52E+02;9.88E-01;9.97E+02;1.74E+06;;43;1.80E+06;1.71E+04;1.28E+05;9.74E+01;1.65E-02
42;1.19E+16;3.65E+11;2.06E+13;5.37E+08;4.42E+16;260.2;0.00E+00;0.00E+00;1.95E-03;7.79E-10;4.98E-11;1.33E-12;;3.12E+02;8.03E-01;8.80E+02;1.53E+06;;42;2.05E+06;1.97E+04;1.47E+05;1.11E+02;1.90E-02
41;1.36E+16;4.62E+11;2.37E+13;1.67E+08;5.07E+16;258.1;0.00E+00;0.00E+00;1.53E-03;6.20E-10;3.97E-11;1.06E-12;;2.71E+02;6.53E-01;7.74E+02;1.31E+06;;41;2.36E+06;2.21E+04;1.66E+05;1.29E+02;2.15E-02
40;1.57E+16;5.75E+11;2.74E+13;1.31E+08;5.87E+16;254.5;0.00E+00;0.00E+00;1.21E-03;4.80E-10;3.07E-11;8.20E-13;;2.28E+02;5.24E-01;6.68E+02;1.09E+06;;40;2.74E+06;2.46E+04;1.88E+05;1.50E+02;2.45E-02
